Estimate,Std. Error,t value,Pr(>|t|)
drug_heroin40 or more times,17.0299946762635,2.47626998215667,6.87727703318986,8.47576754750866e-12
drug_meth1 to 2 times,0.85289872782925,0.924401036737841,0.922650120383985,0.356317410889055
drug_meth20 to 39 times,-13.8171788003191,2.06098130229206,-6.70417474673486,2.72812164911263e-11
drug_meth3 to 9 times,-3.2740465059671,1.34399907596896,-2.43604818225537,0.0149484003828322
drug_meth40 or more times,-2.48042391678661,1.21708086938079,-2.03801076755775,0.0416997293371692
drug_X1 to 2 times,1.44494772185843,0.67551655088396,2.1390263790985,0.0325722865487679
drug_X10 to 19 times,3.52274341025025,1.17996420022215,2.98546634684935,0.00287094995406014
drug_X20 to 39 times,-10.7630253790374,2.67777067818974,-4.01939772763274,6.08359920722358e-05
drug_X3 to 9 times,0.180684968553558,1.26896103419889,0.142388114121745,0.886789925757216
drug_X40 or more times,4.15671641262374,2.97145076774811,1.39888449700746,0.162025739402175
drug_Rx_abuse1 to 2 times,0.333286586938513,0.346171355764727,0.962779217252827,0.335792032944564
drug_Rx_abuse10 to 19 times,0.990257684870004,0.799252105074656,1.23898039002038,0.215519766526393
drug_Rx_abuse20 to 39 times,-1.3246438339278,1.16006823587894,-1.14186717036016,0.253666257255167
drug_Rx_abuse3 to 9 times,0.814212224940933,0.48540525300121,1.67738651344777,0.0936464255226399
drug_Rx_abuse40 or more times,1.81690657161167,0.973786003688819,1.86581709403196,0.0622350151902342
exercise1 day,0.315290661838203,0.446144111189829,0.706701386234482,0.479846636255779
exercise2 days,0.538559891741221,0.38703392266002,1.39150565418087,0.164249910600504
exercise3 days,0.673113762136604,0.37514481598207,1.79427712568678,0.0729423895008559
exercise4 days,-0.500037380750517,0.439575111738695,-1.13754707078995,0.255466185554205
exercise5 days,-0.271904423245216,0.393869599542682,-0.690341228571391,0.490071643161464
exercise6 days,0.460924669548798,0.406599692576624,1.1336080129031,0.257115083419087
exercise7 days,0.57025476101618,0.35638993303074,1.60008661346501,0.109760804109465
sex_contactFemales,-0.44847450841964,0.473170003885182,-0.947808408684472,0.343358534759739
sex_contactMales,0.106562016481246,0.444502033416992,0.239733473572839,0.81056510396628
sex_contactNever had sex,0.0367477806596764,0.413054515385542,0.0889659337711787,0.929119216074465
